Month,Beef,Pork
1/1/70,75.9,71.2
2/1/70,75.6,70.4
3/1/70,79.9,68.0
4/1/70,79.2,65.2
5/1/70,76.6,65.2
6/1/70,78.2,66.2
7/1/70,81.5,66.7
8/1/70,79.1,61.9
9/1/70,76.8,59.5
10/1/70,74.6,56.7
11/1/70,73.1,54.8
12/1/70,71.5,55.5
1/1/71,78.9,52.9
2/1/71,84.0,56.3
3/1/71,83.2,54.5
4/1/71,85.2,52.0
5/1/71,87.2,54.7
6/1/71,85.2,55.9
7/1/71,84.9,58.3
8/1/71,87.0,56.6
9/1/71,85.2,61.4
10/1/71,83.6,60.5
11/1/71,87.3,59.2
12/1/71,90.4,60.8
1/1/72,93.0,65.7
2/1/72,93.1,69.0
3/1/72,89.2,66.4
4/1/72,87.2,63.8
5/1/72,91.5,66.8
6/1/72,96.0,69.5
7/1/72,95.1,70.2
8/1/72,88.6,73.8
9/1/72,86.6,76.2
10/1/72,86.2,77.0
11/1/72,83.7,76.1
12/1/72,93.1,81.5
1/1/73,102.0,84.0
2/1/73,108.1,88.2
3/1/73,112.0,91.6
4/1/73,112.5,87.1
5/1/73,111.8,86.2
6/1/73,114.4,88.2
7/1/73,115.8,105.0
8/1/73,126.3,124.1
9/1/73,115.1,106.0
10/1/73,104.6,95.7
11/1/73,101.7,96.6
12/1/73,105.4,97.3
1/1/74,121.0,94.8
2/1/74,122.8,94.8
3/1/74,108.8,83.0
4/1/74,107.3,77.8
5/1/74,107.9,71.2
6/1/74,101.8,70.8
7/1/74,116.8,85.0
8/1/74,120.4,86.7
9/1/74,108.7,85.2
10/1/74,105.5,89.9
11/1/74,101.4,92.3
12/1/74,98.9,94.3
1/1/75,100.3,93.6
2/1/75,95.6,95.6
3/1/75,97.5,96.4
4/1/75,114.3,98.1
5/1/75,130.9,108.1
6/1/75,139.2,116.2
7/1/75,135.2,126.5
8/1/75,126.7,131.3
9/1/75,129.3,138.3
10/1/75,123.1,135.1
11/1/75,118.6,125.7
12/1/75,119.3,118.9
1/1/76,109.9,115.3
2/1/76,102.1,113.2
3/1/76,94.1,107.7
4/1/76,109.0,110.8
5/1/76,104.4,113.7
6/1/76,103.2,114.3
7/1/76,96.0,110.2
8/1/76,94.6,103.7
9/1/76,94.9,99.5
10/1/76,96.3,89.8
11/1/76,100.5,89.0
12/1/76,103.5,95.8
1/1/77,99.1,96.4
2/1/77,97.5,95.8
3/1/77,94.6,92.8
4/1/77,100.1,91.4
5/1/77,105.7,97.2
6/1/77,103.3,101.3
7/1/77,104.4,103.9
8/1/77,102.5,101.3
9/1/77,103.4,97.7
10/1/77,108.4,100.7
11/1/77,108.1,102.4
12/1/77,111.8,106.7
1/1/78,112.4,101.7
2/1/78,116.5,106.9
3/1/78,122.7,105.8
4/1/78,133.2,104.6
5/1/78,144.8,106.9
6/1/78,141.3,105.4
7/1/78,138.0,104.7
8/1/78,130.5,107.5
9/1/78,134.1,110.7
10/1/78,133.7,114.8
11/1/78,131.2,111.0
12/1/78,138.4,112.2
1/1/79,152.5,121.9
2/1/79,159.6,121.9
3/1/79,170.2,115.0
4/1/79,176.6,109.1
5/1/79,176.6,105.0
6/1/79,167.8,101.6
7/1/79,162.9,98.2
8/1/79,154.0,96.7
9/1/79,167.1,99.6
10/1/79,160.6,94.7
11/1/79,169.3,101.4
12/1/79,171.4,100.5
1/1/80,167.5,98.1
2/1/80,170.2,96.0
3/1/80,169.4,92.5
