Dates,Beef,Groundnut,Lamb,Pork
1/1/80,2999.92,980.08,2579.06,1593.21
2/1/80,2960.10,1000.38,2684.22,1441.61
3/1/80,2596.00,1009.40,2625.04,1430.05
4/1/80,2519.22,1015.04,2919.84,1140.90
5/1/80,2431.00,1035.34,3125.54,1207.81
6/1/80,2505.58,1043.23,3115.86,1374.28
7/1/80,2749.12,992.48,3220.36,1862.94
8/1/80,2915.22,1060.15,3101.12,2259.90
9/1/80,2841.30,1353.38,2914.78,2226.03
10/1/80,2856.26,1917.29,2955.92,2397.04
11/1/80,2931.50,2706.77,2732.40,2479.24
12/1/80,2744.94,2622.18,2653.64,2251.23
1/1/81,2678.06,2255.64,2932.16,2040.97
2/1/81,2568.50,1691.73,2950.64,2053.37
3/1/81,2492.60,1578.95,2744.50,1686.97
4/1/81,2525.60,1590.23,2995.74,2031.47
5/1/81,2484.90,1587.97,3218.60,1874.51
6/1/81,2430.56,1382.71,2979.90,2315.67
7/1/81,2409.00,1325.19,2488.86,2252.05
8/1/81,2409.00,1233.83,2226.84,2428.43
9/1/81,2453.00,1179.70,2472.80,2499.07
10/1/81,2428.36,1103.01,2652.98,2316.49
11/1/81,2365.66,1069.17,2689.50,2317.73
12/1/81,2354.88,1019.55,2641.54,2108.31
1/1/82,2376.00,1012.78,2976.60,2581.68
2/1/82,2376.00,978.95,2743.40,2792.76
3/1/82,2376.00,964.29,2668.60,2747.74
4/1/82,2398.00,945.11,2566.30,3067.04
5/1/82,2409.00,904.51,2560.58,3333.88
6/1/82,2376.00,868.42,2433.20,3157.09
7/1/82,2222.00,900.00,2394.26,3482.17
8/1/82,2237.40,868.42,2288.66,3921.27
9/1/82,2420.00,845.86,2216.06,3795.69
10/1/82,2475.00,959.77,2109.36,3114.13
11/1/82,2475.00,978.95,1888.48,2981.53
12/1/82,2475.00,972.18,1837.88,3048.45
1/1/83,2279.20,947.37,1788.60,3333.88
2/1/83,2376.00,924.81,1705.00,3026.56
3/1/83,2488.20,919.17,1864.06,2705.60
4/1/83,2538.80,942.86,2126.08,2697.75
5/1/83,2532.20,930.45,2109.14,2499.89
6/1/83,2461.80,937.22,1970.10,2516.00
7/1/83,2453.00,938.35,1927.42,2458.59
8/1/83,2475.00,1071.43,1937.76,2746.08
9/1/83,2460.26,1466.17,1954.92,2318.97
10/1/83,2446.84,1437.97,1973.18,2040.56
